,Unnamed: 0,Unnamed: 0.1,stoploss,takeprofit,nPCs,strategy,Min,Max,ROI%,nTrades,ROI%Validation,nTradesValidation
4311,32,32,0.05,0.01,10,Bullish,0.6500000000000001,0.9500000000000004,-0.08960559338096401,32760,-0.0622560593734979,24772
4312,48,48,0.02,0.03,80,Bullish,0.8000000000000003,1.0000000000000004,-0.08972555141730884,22190,,0
4313,2,2,0.02,0.04,40,Bullish,0.5,0.6500000000000001,-0.08973710863919318,1771,0.3105597089443314,1563
4314,44,44,0.02,0.03,25,Bullish,0.7500000000000002,1.0000000000000004,-0.08979526705361117,24810,0.17356413761692294,6735
4315,14,14,0.02,0.02,40,Bullish,0.55,0.8000000000000003,-0.08980531343097281,8330,0.012937918654230322,10507
4316,15,15,0.05,0.04,95,Bullish,0.55,0.8500000000000003,-0.08980574905181073,3301,,0
4317,8,8,0.02,0.02,10,Bullish,0.5,0.9500000000000004,-0.0899806773773318,27880,-0.012829911205981915,16584
4318,54,54,0.01,0.01,65,Bullish,0.9500000000000004,1.0000000000000004,-0.0900490803696277,12851,-0.1389273495752067,42420
4319,7,7,0.01,0.05,65,Bullish,0.5,0.9000000000000004,-0.09005663997566764,3699,-1.17811981,1
4320,15,15,0.04,0.03,95,Bullish,0.55,0.8500000000000003,-0.090173422541951,3993,,0
4321,8,8,0.03,0.01,110,Bullish,0.5,0.9500000000000004,-0.09024656408355172,15729,,0
4322,10,10,0.02,0.02,65,Bullish,0.55,0.6000000000000001,-0.09032214939010398,869,0.12880290000000008,97
4323,20,20,0.02,0.02,10,Bullish,0.6000000000000001,0.7000000000000002,-0.0903723607078784,6131,-0.0400587623588534,3383
4324,36,36,0.04,0.02,25,Bullish,0.7000000000000002,0.8500000000000003,-0.09043577437403244,5176,0.3503546715844861,4563
4325,13,13,0.01,0.04,40,Bullish,0.55,0.7500000000000002,-0.09045250166968012,2767,-0.026696981818457824,3316
4326,46,46,0.01,0.01,10,Bullish,0.8000000000000003,0.9000000000000004,-0.09045760665095004,8056,,0
4327,46,46,0.01,0.01,10,Bullish,0.8000000000000003,0.9000000000000004,-0.09045760665095004,8056,,0
4328,24,24,0.05,0.03,95,Bullish,0.6000000000000001,0.9000000000000004,-0.09054667022699033,3172,,0
4329,8,8,0.01,0.02,65,Bullish,0.5,0.9500000000000004,-0.09054958203820963,11672,-0.2058462937662325,77
4330,4,4,0.01,0.04,10,Bullish,0.5,0.7500000000000002,-0.09061079396832368,4672,-0.2868690867857157,28
4331,14,14,0.02,0.05,25,Bullish,0.55,0.8000000000000003,-0.0906260838512253,4248,0.27168593849548056,1881
4332,35,35,0.05,0.04,25,Bullish,0.7000000000000002,0.8000000000000003,-0.09067211664579417,1756,0.5537138616389161,2343
